Date,Open,High,Low,Close/Last,Close/Last,Volume
5/8/2026,$290.01 ,$294.76 ,$290.00 ,$293.32 ,$293.32 ,52692760
5/7/2026,$289.27 ,$292.13 ,$285.78 ,$287.44 ,$287.44 ,45224300
5/6/2026,$281.92 ,$288.03 ,$281.07 ,$287.51 ,$287.51 ,58336070
5/5/2026,$276.93 ,$284.57 ,$276.50 ,$284.18 ,$284.18 ,49311710
5/4/2026,$279.66 ,$280.63 ,$274.86 ,$276.83 ,$276.83 ,46668400
5/1/2026,$278.86 ,$287.22 ,$278.37 ,$280.14 ,$280.14 ,79915440
4/30/2026,$270.50 ,$276.00 ,$268.14 ,$271.35 ,$271.35 ,91848230
4/29/2026,$267.55 ,$271.04 ,$267.04 ,$270.17 ,$270.17 ,30047870
4/28/2026,$272.34 ,$273.23 ,$268.66 ,$270.71 ,$270.71 ,40018940
4/27/2026,$266.09 ,$268.36 ,$265.07 ,$267.61 ,$267.61 ,41466760
4/24/2026,$272.76 ,$273.06 ,$269.65 ,$271.06 ,$271.06 ,38157110
4/23/2026,$275.05 ,$275.77 ,$271.65 ,$273.43 ,$273.43 ,33399640
4/22/2026,$267.82 ,$273.74 ,$266.87 ,$273.17 ,$273.17 ,43249200
4/21/2026,$271.50 ,$272.80 ,$265.40 ,$266.17 ,$266.17 ,50209760
4/20/2026,$270.33 ,$274.28 ,$270.29 ,$273.05 ,$273.05 ,36590170
4/17/2026,$266.96 ,$272.30 ,$266.72 ,$270.23 ,$270.23 ,61436230
4/16/2026,$266.80 ,$267.16 ,$261.27 ,$263.40 ,$263.40 ,43323110
4/15/2026,$258.16 ,$266.56 ,$257.81 ,$266.43 ,$266.43 ,49913510
4/14/2026,$259.25 ,$261.93 ,$257.19 ,$258.83 ,$258.83 ,48370710
4/13/2026,$259.73 ,$260.18 ,$256.66 ,$259.20 ,$259.20 ,36234700
4/10/2026,$259.98 ,$262.19 ,$259.02 ,$260.48 ,$260.48 ,31291470
4/9/2026,$259.00 ,$261.12 ,$256.07 ,$260.49 ,$260.49 ,28121570
4/8/2026,$258.45 ,$259.75 ,$256.53 ,$258.90 ,$258.90 ,41032770
4/7/2026,$256.16 ,$256.20 ,$245.70 ,$253.50 ,$253.50 ,62148010
4/6/2026,$256.51 ,$262.16 ,$256.46 ,$258.86 ,$258.86 ,29329910
4/2/2026,$254.20 ,$256.13 ,$250.65 ,$255.92 ,$255.92 ,31289370
4/1/2026,$254.08 ,$256.18 ,$253.33 ,$255.63 ,$255.63 ,40059430
3/31/2026,$247.91 ,$255.48 ,$247.10 ,$253.79 ,$253.79 ,49598090
