Date,Open,High,Low,Close/Last,Close/Last,Volume
5/8/2026,734.93,738.08,734.57,737.62,737.62,47227090
5/7/2026,735.05,736.13,729.75,731.58,731.58,51724640
5/6/2026,728.16,734.59,727.82,733.83,733.83,53288940
5/5/2026,721.77,725.04,721.4898,723.77,723.77,36933230
5/4/2026,720.07,722.12,714.99,718.01,718.01,51950560
5/1/2026,721.25,724.87,720.47,720.65,720.65,43049850
4/30/2026,714.63,719.79,710.445,718.66,718.66,67240950
4/29/2026,711,712.2,708.37,711.58,711.58,41859230
4/28/2026,711.815,712.88,709.25,711.69,711.69,43117440
4/27/2026,713.17,715.63,712.295,715.17,715.17,33135940
4/24/2026,710.75,714.47,709.01,713.94,713.94,45181960
4/23/2026,709.5,712.3598,702.2803,708.45,708.45,56173990
4/22/2026,709.15,711.45,708.22,711.21,711.21,42518500
4/21/2026,710.28,711.275,702.64,704.08,704.08,58941380
4/20/2026,710.14,710.14,710.14,710.14,710.14,N/A
4/17/2026,706.14,712.39,705.76,710.14,710.14,9999999
4/16/2026,701.06,702.78,698.53,701.66,701.66,49972360
4/15/2026,695.26,700.28,694.2,699.94,699.94,58240380
4/14/2026,687.69,694.58,687.66,694.46,694.46,63480530
4/13/2026,677.41,686.3,676.58,686.1,686.1,54185820
4/10/2026,681.32,682.03,678.45,679.46,679.46,42253460
4/9/2026,674.84,681.16,673.77,679.91,679.91,57134450
4/8/2026,676.39,677.08,671.46,676.01,676.01,93606110
4/7/2026,656.65,659.61,651.06,659.22,659.22,69980360
4/6/2026,655.86,659.72,655.52,658.93,658.93,39105760
4/2/2026,646.42,658.2,645.11,655.83,655.83,68358710
4/1/2026,653.9,658.52,653,655.24,655.24,97841470
3/31/2026,638.94,651.54,637.98,650.34,650.34,152534100
3/30/2026,640.11,640.37,629.28,631.97,631.97,99275850
3/27/2026,642.5,642.66,633.105,634.09,634.09,103649400
3/26/2026,652.06,654.85,644.82,645.09,645.09,96494380
3/25/2026,658.67,660.89,654.24,656.82,656.82,90653790
3/24/2026,651.32,657.03,649.88,653.18,653.18,96457480
3/23/2026,658.07,662.615,653.94,655.38,655.38,134802700
3/20/2026,656.51,656.69,644.72,648.57,648.57,163617500
3/19/2026,656.97,662.98,655.17,659.8,659.8,111272500
3/18/2026,668.36,669.72,661.19,661.43,661.43,82062580
